"Category","Number of Cases"
"Bangalore urban",99696
"Mysuru",11318
"Dakshina kannada",7526
"Tumkur",7280
"Bellary",6320
"Belgaum",5616
"Dharwad",5585
"Kalaburagi",5389
"Hassan",5354
"Udupi",5171
"Shimoga",4882
"Davanagere",4444
"Mandya",4402
"Bangalore rural",3931
"Chikkamagaluru",2959
"Uttara kannada",2903
"Vijayapura",2902
"Chikkaballapura",2642
"Bagalkot",2594
"Bidar",2541
"Raichur",2397
"Chitradurga",2267
"Kolar",2265
"Gadag",2152
"Koppal",1895
"Haveri",1859
"Kodagu",1694
"Chamarajanagar",1542
"Ramanagara",1498
"Yadagiri",1281