"Category","Numbers"
"Tamil Nadu",3088066
"Uttar Pradesh",2893424
"Maharashtra",2654681
"Andhra Pradesh",2424393
"Rajasthan",1678314
"Karnataka",1624628
"Assam",1238867
"Delhi",1168295
"West Bengal",1054509
"Kerala",963632
"Bihar",946278
"Gujarat",930373
"Madhya Pradesh",859921
"Haryana",713061
"Jammu and Kashmir",706780
"Punjab",646439
"Odisha",616646
"Telangana",590306
"Jharkhand",367757
"Chhattisgarh",359857
"Uttarakhand",199081
"Tripura",196440
"Himachal Pradesh",161232
"Goa",144814
"Arunachal Pradesh",101947
"Manipur",96837
"Puducherry",45954
"Nagaland",43911
"Dadra and Nagar Haveli",42926
"Meghalaya",40631
"Sikkim",29958
"Andaman and Nicobar Islands",26516
"Mizoram",22211
"Ladakh",21740
"Chandigarh",17067